waveAng,fluxmaggies
2465.0,2.9896954944642682e-09
2475.0,2.947030077624164e-09
2485.0,3.0080171383403583e-09
2495.0,2.94063626186689e-09
2505.0,3.1380087788278503e-09
2513.0,2.96290790759354e-09
2518.0,3.0182786418750317e-09
2525.0,2.954667087901827e-09
2535.0,2.9962406989101004e-09
2545.0,2.9834835799459954e-09
2555.0,3.1278443740121197e-09
2565.0,3.095237289905171e-09
2575.0,3.2210275191154165e-09
2585.0,3.215617939822073e-09
2595.0,3.2116332719654236e-09
2605.0,3.162509219836298e-09
2615.0,3.147192731308566e-09
2625.0,3.25460804333096e-09
2635.0,3.3487496967100582e-09
2645.0,3.554420156908593e-09
2655.0,3.6379297730088394e-09
2665.0,3.4363166993116445e-09
2675.0,3.5602478232447762e-09
2685.0,3.5801384743043667e-09
2695.0,3.4907541009482888e-09
2705.0,3.583152779491557e-09
2715.0,3.483639339254245e-09
2725.0,3.4941695772283063e-09
2735.0,3.6396501816915462e-09
2745.0,3.350726503345305e-09
2755.0,3.4208332007146855e-09
2765.0,3.5366908553707253e-09
2775.0,3.6781596627137862e-09
2785.0,3.5926910637182642e-09
2795.0,3.220242198153255e-09
2805.0,3.364595985250503e-09
2815.0,3.766482782891491e-09
2825.0,3.8989773897697215e-09
2835.0,3.8120616269217026e-09
2845.0,3.7530298923423475e-09
2855.0,3.678969007901697e-09
2865.0,3.946189289639232e-09
2875.0,3.988356994728199e-09
2885.0,3.998931437840518e-09
2895.0,4.028225996981535e-09
2910.0,4.309992654287371e-09
2930.0,4.2476199592804386e-09
2950.0,4.254047806131749e-09
2970.0,4.367717927750557e-09
2990.0,4.434997367436459e-09
3010.0,4.533550385748295e-09
3030.0,4.597675351313864e-09
3050.0,4.665270968395713e-09
3070.0,4.7562873111208555e-09
3090.0,4.839025062349458e-09
3110.0,4.919773916723355e-09
3130.0,4.9317497683754695e-09
3150.0,5.015425666661969e-09
3170.0,5.104297092205748e-09
3190.0,4.999001960162895e-09
3210.0,5.221121745438784e-09
3230.0,5.100888556459391e-09
3250.0,5.41677823368192e-09
3270.0,5.641677148360076e-09
3290.0,5.691264010063173e-09
3310.0,5.756699229952353e-09
3330.0,5.823901379704432e-09
3350.0,5.853888601882978e-09
3370.0,5.720100494016774e-09
3389.9999999999995,5.8887276972455645e-09
3410.0,6.012600885713413e-09
3430.0,6.095226378160616e-09
3449.9999999999995,6.157132344946257e-09
3470.0,6.244234071006297e-09
3490.0,6.444838867592892e-09
3510.0000000000005,6.625740509484461e-09
3530.0,6.585025252489947e-09
3550.0,6.882427273985029e-09
3570.0000000000005,6.530795854067367e-09
3590.0,6.615014257252268e-09
3601.8274,7.359431412842515e-09
3602.7275,7.154972776813884e-09
3603.6279,6.944684149281906e-09
3604.5279999999993,6.854311817131288e-09
3605.4282,6.8352552588598984e-09
3606.3286,6.844815349040869e-09
3607.2287,6.9209858240343556e-09
3608.1291,6.963561186931165e-09
3609.0292,6.84647367565713e-09
3609.9293,6.685619483709475e-09
3610.8297,6.6689400346627214e-09
3611.7299,6.804179217445418e-09
3612.6302,6.933272824217485e-09
3613.5304000000006,6.914764290426976e-09
